id	filename	md5	size	state
7c31cdfe-b4a1-415a-b84a-b67fe0e29148	04a9005f-3104-49f0-a957-dd77c3c60679.rna_seq.genomic.gdc_realn.bam	b6dd5bec3edd1a8a4eccd986ebcd56b2	6976521325	released
a5bee0f1-3b37-4280-8e7d-bcd5675c2240	e66cc51e-3029-4568-b546-6278e993189f.rna_seq.genomic.gdc_realn.bam	9ad47543f8ee24dddc1e33ce4a22faac	6970650307	released
b7de342e-2c77-4922-afe9-d76eecad0edb	aa816c97-1621-4bb0-bded-07e8e1c06f09.rna_seq.genomic.gdc_realn.bam	27d54083dc92966cd20c6c24a9724020	3779764637	released
d1b08d2e-9929-4125-bc05-d619efd39c6a	9d285856-ea63-4cf3-9827-fbd6d8cbfae8.rna_seq.genomic.gdc_realn.bam	2c968422a98e6e1e9caa189dd6d9ab70	7653964082	released
d1c3dc3d-09cf-4698-926f-97033a777c65	0d902210-381c-4e66-8087-0de815e8d507.rna_seq.genomic.gdc_realn.bam	13b3579081c4c93f3bcf23f2a854ef6c	5475803305	released
84a4bb17-41a2-4368-937c-30fc9a4592bf	61b1ca49-d26b-432d-bc34-98c4644f8b4f.rna_seq.genomic.gdc_realn.bam	aaf4dfbcfbd0d7d49b47682dcb30812e	5596360652	released
12878921-436a-4bb2-a8b7-b2e014cd42c9	28571071-5093-4d12-b526-9c06133cfcbc.rna_seq.genomic.gdc_realn.bam	856ebddc1f6f0c797db878773f851148	7308799011	released
a469fe70-47ee-4946-a691-c88bef42ba77	97aede8f-8315-4d49-8f04-41b4c266d78c.rna_seq.genomic.gdc_realn.bam	62b3a0d13877b6e29ca9b7221174889a	5860523724	released
61255d2c-e50c-465f-9a06-3268ca891d0b	2a6ea7b6-7ec3-4226-9d58-37b544e78aec.rna_seq.genomic.gdc_realn.bam	aeaabd7f10ab6974e420db60a3626172	6131675622	released
eea9da25-b7df-45d1-a63f-a76562ab65df	37d341cf-24de-4af2-9a2b-ee801c416ec8.rna_seq.genomic.gdc_realn.bam	17c3946d0fb94fda49ff3adbed44f3c0	5681999211	released
6b3e7696-34d7-48ae-97e6-4c896b0032b5	f42e7ae4-f25b-4cec-a514-cd7f47dd43b8.rna_seq.genomic.gdc_realn.bam	cb4113bb0e1e1089c0b0983a646eafee	6728738074	released
8697e65c-f307-4497-8619-f2bc07a26b97	7a632cae-65fe-4d7c-a892-a8809a9ba6de.rna_seq.genomic.gdc_realn.bam	76ae2260d949933ed2dbcf2510710a80	5170121142	released
